streamline	measurement	value
1	fa	0.4739239812
1	md	0.0008443683037
1	rd	0.0006028232747
2	fa	0.4160107374
2	md	0.0008227195358
2	rd	0.0006298227236
3	fa	0.3768298924
3	md	0.0008311712882
3	rd	0.000655119482
4	fa	0.3602295816
4	md	0.0008595550316
4	rd	0.0006917687715
5	fa	0.3719401062
5	md	0.000836715044
5	rd	0.0006663203239
6	md	0.0008549222839
6	rd	0.0006521417527
6	fa	0.4185263515
7	rd	0.0006386684254
7	fa	0.4142763913
7	md	0.0008406994166
8	rd	0.0006415032549
8	fa	0.4246834815
8	md	0.0008574917447
9	rd	0.0006116137374
9	fa	0.441195786
9	md	0.0008074803045
10	rd	0.00061955821
10	md	0.0008711057599
10	fa	0.460630089
11	md	0.0008376751211
11	rd	0.0006088768132
11	fa	0.4539869726
12	md	0.0008594415267
12	rd	0.0006756225484
12	fa	0.3828779459
13	md	0.0008577454719
13	rd	0.0006690790178
13	fa	0.3984600604
14	md	0.0008410269511
14	rd	0.0006673012394
14	fa	0.3780937791
15	rd	0.0006607988616
15	fa	0.3692632616
15	md	0.0008318279288
16	fa	0.4159753621
16	md	0.0009314501658
16	rd	0.0007084146491
17	fa	0.3743050694
17	md	0.0008637132123
17	rd	0.0006827291218
18	fa	0.3978762329
18	md	0.0008577206172
18	rd	0.0006593216094
19	md	0.0008502271958
19	rd	0.0006688970025
19	fa	0.3855750263
20	rd	0.0005780950305
20	fa	0.4558957219
20	md	0.0008104033768
21	rd	0.0006661564694
21	fa	0.3673609495
21	md	0.0008304791409
22	rd	0.0006011385703
22	fa	0.4692897499
22	md	0.0008362628869
23	rd	0.0006483105244
23	fa	0.4229521155
23	md	0.0008458135999
24	fa	0.4020593166
24	md	0.0008469947497
24	rd	0.0006584639777
25	md	0.0008371006115
25	rd	0.0006129664253
25	fa	0.4544655085
26	md	0.0008264310891
26	rd	0.0005809586728
26	fa	0.4721446633
27	md	0.0008692744887
27	rd	0.0006860849098
27	fa	0.3807932734
28	md	0.0008444091654
28	fa	0.4182381332
28	rd	0.0006411213544
29	fa	0.3577736914
29	md	0.0008509114268
29	rd	0.0006877921987
30	fa	0.3783694506
30	md	0.000877751736
30	rd	0.0006917737774
31	fa	0.388325274
31	md	0.0008534425288
31	rd	0.0006684499094
32	fa	0.3695614934
32	md	0.000872985227
32	rd	0.0007046953542
33	md	0.0008401506348
33	rd	0.0006273936597
33	fa	0.4361559153
34	rd	0.0006254175678
34	fa	0.4410347641
34	md	0.0008321183268
35	rd	0.0006096734433
35	fa	0.4683634937
35	md	0.0008644774789
36	rd	0.0006505338242
36	fa	0.4122210443
36	md	0.0008456849027
37	rd	0.0006262746756
37	md	0.0008496160153
37	fa	0.4407535791
38	md	0.0008341855719
38	rd	0.0006389316404
38	fa	0.4170628488
39	md	0.0008419731748
39	rd	0.0005939938128
39	fa	0.4699370563
40	md	0.0008445428102
40	rd	0.0006680533988
40	fa	0.3951056898
41	md	0.0008252913831
41	rd	0.0006290600286
41	fa	0.4182701111
42	rd	0.0006072669639
42	fa	0.4575459361
42	md	0.0008352663135
43	fa	0.4281986058
43	md	0.0008322630893
43	rd	0.0006304386188
44	fa	0.4230111241
44	md	0.0008437758079
44	rd	0.0006424123421
45	fa	0.4045489132
45	md	0.0008496476803
45	rd	0.0006572541897
46	fa	0.4509513974
46	rd	0.0006074988632
46	md	0.0008299881592
47	rd	0.0006163524231
47	fa	0.4417990446
47	md	0.0008373484015
48	rd	0.0006720229285
48	fa	0.4691022336
48	md	0.0009415711393
49	rd	0.0006565186195
49	fa	0.411771059
49	md	0.0008614223334
50	rd	0.0006120946491
50	fa	0.4452429414
50	md	0.0008420074009
51	fa	0.3657073081
51	md	0.0008452680195
51	rd	0.0006785225705
52	md	0.0008303069044
52	rd	0.0006507694488
52	fa	0.3906688392
53	md	0.0008336378378
53	rd	0.0006741744583
53	fa	0.366422683
54	md	0.0008464456769
54	rd	0.0006621475914
54	fa	0.4010700285
55	rd	0.0006702702958
55	fa	0.3970649838
55	md	0.0008669826202
56	fa	0.3868813515
56	md	0.0008809740539
56	rd	0.0006944733905
57	fa	0.4442676008
57	md	0.0008270666585
57	rd	0.0006140671903
58	md	0.0008569775382
58	fa	0.350672245
58	rd	0.0006950468523
59	fa	0.4313034415
59	rd	0.0006196574541
59	md	0.0008336284664
60	md	0.0008419367368
60	rd	0.0006828808109
60	fa	0.3514466584
61	rd	0.0006143859937
61	md	0.0008296620799
61	fa	0.4298926592
62	md	0.0008382683736
62	fa	0.4718409479
62	rd	0.0006006191834
63	rd	0.0006016974803
63	md	0.0008201161982
63	fa	0.4481250942
64	md	0.0008262309711
64	fa	0.4346090853
64	rd	0.0006234199391
65	md	0.000830654928
65	fa	0.5025451183
65	rd	0.0005695655709
66	fa	0.4367377162
66	md	0.0007961220108
66	rd	0.0005879248492
67	md	0.0008322345675
67	fa	0.5274486542
67	rd	0.0005570086068
68	rd	0.0006502517499
68	fa	0.3799201548
68	md	0.0008162343292
69	md	0.0008615251863
69	rd	0.0006765429862
69	fa	0.3846026957
70	md	0.0008462068508
70	rd	0.00065241626
70	fa	0.400454849
71	md	0.0008957976243
71	rd	0.0006646272377
71	fa	0.4326654077
72	rd	0.0005828682333
72	fa	0.505476892
72	md	0.0008630123339
73	md	0.0008745565428
73	fa	0.473621875
73	rd	0.0006284468109
